name,emotion
Ses02M_impro08_M013,6
Ses01M_impro02_M012,8
Ses04F_script03_2_M020,10
Ses04F_script01_1_F042,0
Ses05M_script03_2_M016,4
Ses03F_script01_3_M036,8
Ses05M_impro01_M018,4
Ses05F_impro02_M022,10
Ses04F_script02_2_F006,0
Ses03M_script02_1_M039,2
Ses04F_impro02_F019,4
Ses04M_impro03_F003,2
Ses02F_impro01_F008,4
Ses02M_impro08_F020,9
Ses05F_script03_1_M003,10
Ses04F_script03_2_F003,10
Ses01M_script02_2_F031,0
Ses02F_impro01_F010,4
Ses05M_script02_1_M030,2
Ses05F_impro01_M024,10
Ses04F_script02_1_F019,0
Ses03M_impro08b_M022,6
Ses05M_impro08_M006,6
Ses01F_script02_1_M016,2
Ses02F_impro05_F010,0
Ses01M_impro01_F002,10
Ses04M_script01_2_F015,0
Ses02F_script02_2_F023,10
Ses02M_impro01_M008,0
Ses02M_script01_3_M000,5
Ses04M_script03_2_M038,0
Ses03M_script01_1_M026,4
Ses02M_impro05_M027,4
Ses05M_impro03_M027,5
Ses03M_script02_1_M038,2
Ses05F_impro02_F029,8
Ses04F_impro08_F004,6
Ses05M_script03_2_M027,0
Ses05F_impro07_M023,10
Ses02F_script01_1_M000,10
Ses03M_impro04_F028,4
Ses05F_script02_1_M009,2
Ses03M_impro08a_M027,6
Ses01F_script01_1_M028,4
Ses03M_impro05b_F019,6
Ses02F_script03_2_F025,0
Ses04M_impro02_M021,4
Ses05F_impro02_F019,10
Ses02F_script03_2_F033,10
Ses05F_impro04_F014,4
Ses03F_script01_3_M040,8
Ses04F_impro03_F051,2
Ses02F_script03_2_F031,0
Ses04M_impro08_M027,6
Ses01F_script01_3_M034,10
Ses04M_script02_1_M000,10
Ses05F_impro05_M005,6
Ses03M_impro08b_F016,4
Ses05M_script02_1_M008,2
Ses05M_script01_3_F017,10
Ses01F_impro06_M003,8
Ses03M_script02_2_M000,2
Ses02M_script03_1_M004,10
Ses03F_impro04_M000,6
Ses02M_script03_2_M025,10
Ses02F_script01_1_M030,10
Ses03M_impro03_M017,5
Ses01F_script01_3_M037,6
Ses03M_impro05b_F001,6
Ses01M_script02_1_F003,10
Ses04M_impro01_M022,4
Ses05F_impro03_F028,5
Ses01M_script03_1_M004,5
Ses02M_impro08_M023,6
Ses05M_script03_2_F029,4
Ses01F_impro04_F028,0
Ses05M_impro04_M014,4
Ses03F_script02_2_F050,5
Ses04M_impro07_F013,2
Ses04F_impro08_M023,0
Ses05M_impro03_F004,2
Ses04M_script03_2_M051,0
Ses01F_script01_3_M033,8
Ses04F_script02_1_M032,2
Ses03M_impro03_M010,10
Ses04M_script01_2_M001,10
Ses05F_script01_3_M011,10
Ses01F_script03_2_M000,10
Ses01M_script02_2_F021,10
Ses02F_impro07_M020,10
Ses05F_script01_1_M015,4
Ses03M_impro05b_F000,6
Ses02F_impro07_F014,2
Ses03F_script02_2_M001,6
Ses03M_script03_2_F018,10
Ses05M_script01_1_M030,4
Ses03F_impro05_M003,6
Ses05M_impro01_F005,4
Ses02F_script02_1_M041,2
Ses03M_impro05a_M008,10
Ses03F_script01_3_F013,5
Ses03F_impro02_M031,8
Ses02F_impro01_F016,4
Ses04F_impro07_F065,2
Ses01F_script01_2_F001,10
Ses04F_script01_2_M010,4
Ses04M_impro05_M011,0
Ses05F_script01_3_M012,10
Ses03F_script02_2_F028,8
Ses03M_script02_2_F015,4
Ses04F_impro05_M016,4
Ses03F_impro05_M008,6
Ses03M_impro03_M009,10
Ses04F_impro08_M025,4
Ses03M_script03_1_F019,10
Ses05F_script01_1_F040,4
Ses03F_script01_2_M011,0
Ses03M_script03_2_F020,10
Ses04M_script03_2_M003,10
Ses04M_impro03_F001,10
Ses05F_script03_2_M009,6
Ses04F_script01_3_M033,8
Ses03M_impro01_F013,10
Ses02M_impro08_F026,6
Ses05M_impro08_F028,5
Ses04F_script02_2_F028,4
Ses02F_impro08_F008,6
Ses01F_script03_1_F026,10
Ses03M_impro08b_M009,6
Ses01F_script02_1_M033,6
Ses04M_script02_2_M028,10
Ses03F_impro07_F016,2
Ses01M_impro06_M014,8
Ses02F_script01_1_F038,0
Ses04F_impro04_M022,6
Ses01M_script02_1_M007,6
Ses05F_script01_3_F005,10
Ses01M_impro01_F020,0
Ses04M_script02_2_M020,6
Ses04F_impro02_M026,8
Ses01M_script03_2_F037,0
Ses04M_script03_2_M004,4
Ses04F_impro03_M024,10
Ses04M_impro01_F014,4
Ses04F_impro03_F047,2
Ses05M_impro07_M046,5
Ses03F_script03_2_M039,0
Ses03M_script02_1_F018,4
Ses02M_impro03_M007,10
Ses04F_impro07_M071,6
Ses01F_script02_1_M021,6
Ses04F_script03_2_F024,0
Ses05M_script02_2_F021,10
Ses05M_script03_1_F015,6
Ses04M_script02_1_M021,2
Ses04F_impro07_M024,10
Ses01M_script01_3_M039,8
Ses03M_impro04_M008,0
Ses02M_script01_3_M030,8
Ses02F_script03_1_F019,5
Ses05M_script02_1_M031,2
Ses02M_script02_1_M028,2
Ses03M_script01_2_F018,10
Ses03M_impro05b_F016,6
Ses04M_script03_1_F017,2
Ses05F_impro04_M020,6
Ses04F_impro07_F044,2
Ses03F_script03_1_F027,2
Ses03F_script01_2_M007,6
Ses01M_script03_2_M033,0
Ses04M_impro02_F014,10
Ses04F_script02_1_M035,2
Ses01M_script01_3_M027,8
Ses02F_script01_3_M035,10
Ses05M_script01_3_M019,8
Ses01M_script02_2_M053,5
Ses02F_impro03_M000,10
Ses03M_script01_1_M008,4
Ses05M_script01_1_M033,0
Ses03F_script01_3_M042,8
Ses05M_impro04_M019,0
Ses05F_script01_1_F003,10
Ses02M_script02_1_F007,4
Ses01F_impro04_M018,6
Ses01M_script03_2_F014,10
Ses01M_impro02_M006,4
Ses04M_impro02_M000,8
Ses04M_impro05_M028,4
Ses05M_script03_1_M027,2
Ses03M_script01_2_M006,4
Ses03F_script03_2_F016,10
Ses01M_impro01_M012,4
Ses05F_impro04_M027,6
Ses02M_impro02_M017,8
Ses03M_script01_3_M000,10
Ses02M_script01_1_M016,6
Ses05F_script02_1_F019,10
Ses04F_impro07_M032,6
Ses03F_script01_1_F051,10
Ses04M_impro08_F000,4
Ses03M_impro05b_F012,6
Ses03F_impro05_M006,4
Ses01F_script03_1_F006,2
Ses03F_script03_2_M004,10
Ses04F_script02_1_F014,0
Ses03M_impro05b_M023,0
Ses05F_script01_3_M020,10
Ses04F_script01_1_M005,8
